original,male,female
I have always been a leadership type.,Vždy som bol vodcovský typ.,Vždy som bola vodcovský typ.
I am passionate.,Som vášnivý.,Som vášnivá.
I exhibited a disregard for rules and boundaries.,Prejavil som ignorovanie pravidiel a hraníc.,Prejavila som ignorovanie pravidiel a hraníc.
I have had a lot of sexual partners.,Mal som veľa sexuálnych partnerov.,Mala som veľa sexuálnych partnerov.
Never in my life I had refused any challenge.,Nikdy v živote som neodmietol žiadnu výzvu.,Nikdy v živote som neodmietla žiadnu výzvu.
I paid for everyones coffee.,Zaplatil som všetkým za kávu.,Zaplatila som všetkým za kávu.
I decided to work in a non-profit organization.,Rozhodol som sa pracovať v neziskovej organizácii.,Rozhodla som sa pracovať v neziskovej organizácii.
I made the bed.,Upravil som posteľ.,Spravila som posteľ.
I was never scared of heights.,Nikdy som sa nebál výšok.,Nikdy som sa nebála výšok.
I like talking to new people.,Rád sa rozprávam s novými ľuďmi.,Rada sa rozprávam s novými ľuďmi.
I always knew that it's important to have a good skincare routine.,"Vždy som vedel, že je dôležité mať dobrú rutinu starostlivosti o pleť.","Vždy som vedela, že je dôležité mať dobrú rutinu starostlivosti o pleť."
"I didn't want to change my plans, but it seemed impolite to refuse.","Nechcel som meniť svoje plány, ale zdalo sa mi neslušné odmietnuť.","Nechcela som meniť svoje plány, ale zdalo sa mi neslušné odmietnuť."
I am not asexual.,Nie som asexuál.,Nie som asexuálna.
I wrestled with everyone.,Zápasil som so všetkými.,Zápasila som so všetkými.
I continually educated myself.,Neustále som sa vzdelával.,Neustále som sa vzdelávala.
"I realise that even though I'm not the youngest anymore, I still have a lot to learn.","Uvedomujem si, že aj keď už nie som najmladší, stále sa mám čo učiť.","Uvedomujem si, že aj keď už nie som najmladšia, stále sa mám čo učiť."
I needed help with heavy bags.,Potreboval som pomôcť s ťažkými taškami.,Potrebovala som pomôcť s ťažkými taškami.
I didn't fear refusal.,Nebál som sa odmietnutia.,Nebála som sa odmietnutia.
I met a lot of cool people in the gym.,V posilňovni som stretol veľa skvelých ľudí.,V posilňovni som stretla veľa skvelých ľudí.
I would never wear those dirty hotel slippers.,Nikdy by som si neobliekol tie špinavé hotelové papuče.,Nikdy by som si neobula tie špinavé hotelové papuče.
I've always wanted to learn how to fly a plane.,Vždy som sa chcel naučiť riadiť lietadlo.,Vždy som sa chcela naučiť riadiť lietadlo.
"I tried to climb the mountain, but it was too steep.","Pokúsil som sa vyliezť na horu, ale bolo to príliš strmé.","Snažila som sa vyliezť na horu, ale bolo to príliš strmé."
"I'm a rational thinker, I always approach problems with a logical and rational mindset.","Som racionálne uvažujúci, k problémom vždy pristupujem s logickým a racionálnym myslením.","Som racionálne uvažujúca, k problémom vždy pristupujem s logickým a racionálnym myslením."
I like to go out for a beer with my friends.,Rád chodím s kamarátmi na pivo.,Rada chodím s kamarátmi na pivo.
The chances were low but I still made the right decision.,"Šance boli nízke, ale aj tak som sa rozhodol správne.","Šance boli nízke, ale aj tak som sa rozhodla správne."
